"ID","date","SID","comic_name","source","filemask","type","destination","path","filename"
1864,"0000-00-00 00:00:00",6,"Breaking Cat News","Sunday_Comics/Breaking_Cat_News_Sundays/","bcn%symd%comb_ts.tif","Sunday Color","/%dS%/","","bcn%sW%comb_ts.tif"
2180,"0000-00-00 00:00:00",6,"Brevity","UFS_Sunday_Comics/Brevity_Sunday/","bv%symd%comb_qs.tif","Sunday Color","/%dS%/","","bv%sW%comb_qs.tif"
2181,"0000-00-00 00:00:00",6,"Brevity","UFS_Sunday_Comics/Brevity_Sunday/","bv%symd%comb_ts.tif","Sunday Color","/%dS%/","","bv%sW%comb_ts.tif"
2182,"0000-00-00 00:00:00",6,"Brevity","UFS_Sunday_Comics/Brevity_Sunday/","bv%symd%qsc.tif","Sunday Color","/%dS%/","","bv%sW%qsc.tif"
2183,"0000-00-00 00:00:00",6,"Brevity","UFS_Sunday_Comics/Brevity_Sunday/","bv%symd%qsl.tif","Sunday Color","/%dS%/","","bv%sW%qsl.tif"
2184,"0000-00-00 00:00:00",6,"Brevity","UFS_Sunday_Comics/Brevity_Sunday/","bv%symd%tsc.tif","Sunday Color","/%dS%/","","bv%sW%tsc.tif"
2185,"0000-00-00 00:00:00",6,"Brevity","UFS_Sunday_Comics/Brevity_Sunday/","bv%symd%tsl.tif","Sunday Color","/%dS%/","","bv%sW%tsl.tif"
1453,"2011-11-08 17:12:50",6,"Brevity Panel Daily","UFS_Daily_Comics/Brevity_Panels_Dailies/","bvp%symd%.tif","Daily B&W","/%dmd%/","","brevityp.tif"
1455,"2011-09-26 16:37:33",6,"Brevity Strip Daily","UFS_Daily_Comics/Brevity_Strips_Dailies/","bv%symd%.tif","Daily B&W","/%dmd%/","","brevity.tif"
2186,"0000-00-00 00:00:00",6,"Buckets","UFS_Sunday_Comics/Buckets_Sunday/","bu%symd%comb_qs.tif","Sunday Color","/%dS%/","","bu%sW%comb_qs.tif"
2187,"0000-00-00 00:00:00",6,"Buckets","UFS_Sunday_Comics/Buckets_Sunday/","bu%symd%comb_ts.tif","Sunday Color","/%dS%/","","bu%sW%comb_ts.tif"
2188,"0000-00-00 00:00:00",6,"Buckets","UFS_Sunday_Comics/Buckets_Sunday/","bu%symd%qsc.tif","Sunday Color","/%dS%/","","bu%sW%qsc.tif"
2189,"0000-00-00 00:00:00",6,"Buckets","UFS_Sunday_Comics/Buckets_Sunday/","bu%symd%qsl.tif","Sunday Color","/%dS%/","","bu%sW%qsl.tif"
2190,"0000-00-00 00:00:00",6,"Buckets","UFS_Sunday_Comics/Buckets_Sunday/","bu%symd%tsc.tif","Sunday Color","/%dS%/","","bu%sW%tsc.tif"
2191,"0000-00-00 00:00:00",6,"Buckets","UFS_Sunday_Comics/Buckets_Sunday/","bu%symd%tsl.tif","Sunday Color","/%dS%/","","bu%sW%tsl.tif"
1456,"2011-09-26 16:38:28",6,"Buckets Daily","UFS_Daily_Comics/Buckets_Dailies/","bu%symd%.tif","Daily B&W","/%dmd%/","","buckets.tif"
1865,"0000-00-00 00:00:00",6,"Calvin","Sunday_Comics/Calvin/","ch%symd%hsc.tif","Sunday Color","/%dS%/","","ch%sW%hsc.tif"
1866,"0000-00-00 00:00:00",6,"Calvin","Sunday_Comics/Calvin/","ch%symd%hsl.tif","Sunday Color","/%dS%/","","ch%sW%hsl.tif"
1162,"2010-11-01 16:09:07",6,"Calvin Daily","Comic_Strips/Calvin/","ch%symd%.tif","Daily B&W","/%dmd%/","","calvin.tif"
1487,"2011-09-27 11:04:03",6,"Celebrity Cipher","NEA_Full_Service/Puzzles/Celebrity Cipher/","ciph%symd%.txt","Editorial","/%dymM%/","celebcipher/","celebcipher.%dYmd%.txt"
1492,"2013-11-19 10:51:32",6,"Celebrity Cipher","NEA_Full_Service/Puzzles/Celebrity Cipher/","ciph%symd%.tif","Daily Puzzles","/%dymM%/","Celebrity Cipher/","ciph%dymd%.tif"
1867,"0000-00-00 00:00:00",6,"Close to Home","Sunday_Comics/Close_to_Home/","cth%symd%comb_qs.tif","Sunday Color","/%dS%/","","cls%sW%qscmyk.tif"
1868,"0000-00-00 00:00:00",6,"Close to Home","Sunday_Comics/Close_to_Home/","cth%symd%comb_ts.tif","Sunday Color","/%dS%/","","cls%sW%tscmyk.tif"
